# This is documentation for the ForceBalance condensed phase reference data file,,,,,,,,,,,,,,,,,,,
"# Lines beginning with octothorpe are comments, empty lines are ignored",,,,,,,,,,,,,,,,,,,
"# A line can either be a comment, a global parameter, a single line with column headings, or a data line (after the column heading line)",,,,,,,,,,,,,,,,,,,
# This file should be saved as .xlsx (to preserve formatting) but exported to .csv for ForceBalance to use.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"# Global parameters are defined here; they have ""Global"" in the first column.",,,,,,,,,,,,,,,,,,,
# rho_denom : least squares denominator for the density objective function,,,,,,,,,,,,,,,,,,,
"# Note: w_rho, w_hvap etc. is set in the input file.  This is because it's considered an adjustable option rather than a property of the data set.",,,,,,,,,,,,,,,,,,,
# The overall prefactor for an observable is w_obs / obs_denom^2 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Global,rho_denom,1.0,,,,,,,,,,,,,,,,,
Global,hvap_denom,0.25,,,,,,,,,,,,,,,,,
Global,alpha_denom,1.0,,,,,,,,,,,,,,,,,
Global,kappa_denom,5.0,,,,,,,,,,,,,,,,,
Global,cp_denom,1.0,,,,,,,,,,,,,,,,,
Global,eps0_denom,2.0,,,,,,,,,,,,,,,,,
Global,use_cvib_intra,TRUE,,,,,,,,,,,,,,,,,
Global,use_cvib_inter,TRUE,,,,,,,,,,,,,,,,,
Global,use_cni,TRUE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"# Before entering the data, there must be one line with column headings.",,,,,,,,,,,,,,,,,,,
# Allowed column headings are: (not case sensitive),,,,,,,,,,,,,,,,,,,
# T : Temperature in Kelvin,,,,,,,,,,,,,,,,,,,
"# P : Pressure in specified unit (append atm or bar), default is atm",,,,,,,,,,,,,,,,,,,
# MBAR : Include this state in multistate Bennett acceptance ratio calculation (more extreme states are not included),,,,,,,,,,,,,,,,,,,
# Rho : Density in kg m^-3,,,,,,,,,,,,,,,,,,,
# Hvap : Enthalpy of vaporization in kJ/mol.  Note: simulating liquid at 1 atm is an acceptable approximation for the vapor pressure.,,,,,,,,,,,,,,,,,,,
# Alpha : Thermal expansion coefficient in 10^-4 K^-1.,,,,,,,,,,,,,,,,,,,
# Kappa: Isothermal compressibility in 10^-6 bar^-1.,,,,,,,,,,,,,,,,,,,
# Cp: Isobaric heat capacity in kJ/mol K^-1.,,,,,,,,,,,,,,,,,,,
# Eps0: Static dielectric constant.,,,,,,,,,,,,,,,,,,,
# Rho_wt : Weight to use for this phase point. Analogous for Hvap etc. If column is missing then all weights are 1.,,,,,,,,,,,,,,,,,,,
# Cvib_intra : To be ADDED to the calculated enthalpy of vaporization ; energy difference due to intramolecular vibrational frequency shifts in going from gas to liquid,,,,,,,,,,,,,,,,,,,
# Cvib_inter : To be ADDED to the calculated enthalpy of vaporization ; energy difference due to intermolecular vibrational frequency shifts in going from gas to liquid,,,,,,,,,,,,,,,,,,,
# Cni : To be ADDED to the calculated enthalpy of vaporization ; accounts for the nonideality of the gas phase (more relevant close to critical point),,,,,,,,,,,,,,,,,,,
# dEvib : To be ADDED to the calculated heat capacity.  Note that these values are slightly different from the TIP4P-Ew paper for some reason.,,,,,,,,,,,,,,,,,,,
# NOTE : To finish off the optimization I increased the weight of rho and alpha on the low temperature points.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
T,P,MBAR,Rho,Rho_wt,Hvap,Hvap_wt,Cvib_intra,Cvib_inter,Cni,Alpha,Alpha_wt,Kappa,Kappa_wt,Cp,Cp_wt,dEvib_intra,dEvib_inter,Eps0,Eps0_wt
293.15,1.0 atm,TRUE,998.204,1.0,44.203,1.0,3.541,-3.860,-0.021,2.068,1.0,45.892,1.0,18.015,1.0,0.040,-2.277,80.223,1.0
301.15,1.0 atm,TRUE,996.234,1.0,43.861,1.0,3.542,-3.785,-0.028,2.853,1.0,44.943,1.0,17.998,1.0,0.048,-2.203,77.339,1.0
# Data going all the way up to the critical point. ,,,,,,,,,,,,,,,,,,,
# Above 600K the data for second order properties is not trustworthy; FreeSteam and Steam Tables Online have divergent results.,,,,,,,,,,,,,,,,,,,
#380,1.3 atm,FALSE,953.327,1.0,40.322,1.0,3.546,-3.162,-0.277,7.876,1.0,50.205,1.0,18.195,1.0,0.155,-1.612,53.796,1.0
#490,21.5 atm,FALSE,844.219,0.1,33.706,0.1,3.557,-2.551,-2.031,15.368,0.0,102.758,0.0,19.764,0.0,0.396,-1.089,31.992,0.0
# Pressure dependence data.  At very high pressures the weight is reduced because larger deviations from experiment are expected.,,,,,,,,,,,,,,,,,,,
# The enthalpy of vaporization calculation is meaningless so it is given a weight of zero.,,,,,,,,,,,,,,,,,,,
298.15,1000.0 bar,TRUE,1037.872,1.0,43.989,0.0,3.542,-3.813,-0.025,3.502,1.0,35.723,1.0,17.123,1.0,0.045,-2.231,81.900,1.0
298.15,5000.0 bar,TRUE,1149.422,1.0,43.989,0.0,3.542,-3.813,-0.025,4.425,1.0,18.888,1.0,16.301,1.0,0.045,-2.231,93.087,1.0
